a1.medium,0.0255000000,2020:9:27,1:48
a1.large,0.0510000000,2020:9:27,1:48
a1.xlarge,0.1020000000,2020:9:27,1:48
a1.2xlarge,0.2040000000,2020:9:27,1:48
a1.4xlarge,0.4080000000,2020:9:27,1:48
a1.metal,0.4080000000,2020:9:27,1:48
t4g.nano,0.0042000000,2020:9:27,1:48
t4g.micro,0.0084000000,2020:9:27,1:48
t4g.small,0.0168000000,2020:9:27,1:48
t4g.medium,0.0336000000,2020:9:27,1:48
t4g.large,0.0672000000,2020:9:27,1:48
t4g.xlarge,0.1344000000,2020:9:27,1:48
t4g.2xlarge,0.2688000000,2020:9:27,1:48
t3.nano,0.0052000000,2020:9:27,1:48
t3.micro,0.0104000000,2020:9:27,1:48
t3.small,0.0208000000,2020:9:27,1:48
t3.medium,0.0416000000,2020:9:27,1:48
t3.large,0.0832000000,2020:9:27,1:48
t3.xlarge,0.1664000000,2020:9:27,1:48
t3.2xlarge,0.3328000000,2020:9:27,1:48
t3a.nano,0.0047000000,2020:9:27,1:48
t3a.micro,0.0094000000,2020:9:27,1:48
t3a.small,0.0188000000,2020:9:27,1:48
t3a.medium,0.0376000000,2020:9:27,1:48
t3a.large,0.0752000000,2020:9:27,1:48
t3a.xlarge,0.1504000000,2020:9:27,1:48
t3a.2xlarge,0.3008000000,2020:9:27,1:48
t2.nano,0.0058000000,2020:9:27,1:48
t2.micro,0.0116000000,2020:9:27,1:48
t2.small,0.0230000000,2020:9:27,1:48
t2.medium,0.0464000000,2020:9:27,1:48
t2.large,0.0928000000,2020:9:27,1:48
t2.xlarge,0.1856000000,2020:9:27,1:48
t2.2xlarge,0.3712000000,2020:9:27,1:48
m6g.medium,0.0385000000,2020:9:27,1:48
m6g.large,0.0770000000,2020:9:27,1:48
m6g.xlarge,0.1540000000,2020:9:27,1:48
m6g.2xlarge,0.3080000000,2020:9:27,1:48
m6g.4xlarge,0.6160000000,2020:9:27,1:48
m6g.8xlarge,1.2320000000,2020:9:27,1:48
m6g.12xlarge,1.8480000000,2020:9:27,1:48
m6g.16xlarge,2.4640000000,2020:9:27,1:48
m6g.metal,2.4640000000,2020:9:27,1:48
m6gd.medium,0.0452000000,2020:9:27,1:48
m6gd.large,0.0904000000,2020:9:27,1:48
m6gd.xlarge,0.1808000000,2020:9:27,1:48
m6gd.2xlarge,0.3616000000,2020:9:27,1:48
m6gd.4xlarge,0.7232000000,2020:9:27,1:48
m6gd.8xlarge,1.4464000000,2020:9:27,1:48
m6gd.12xlarge,2.1696000000,2020:9:27,1:48
m6gd.16xlarge,2.8928000000,2020:9:27,1:48
m6gd.metal,2.8928000000,2020:9:27,1:48
m5.large,0.0960000000,2020:9:27,1:48
m5.xlarge,0.1920000000,2020:9:27,1:48
m5.2xlarge,0.3840000000,2020:9:27,1:48
m5.4xlarge,0.7680000000,2020:9:27,1:48
m5.8xlarge,1.5360000000,2020:9:27,1:48
m5.12xlarge,2.3040000000,2020:9:27,1:48
m5.16xlarge,3.0720000000,2020:9:27,1:48
m5.24xlarge,4.6080000000,2020:9:27,1:48
m5.metal,4.6080000000,2020:9:27,1:48
m5a.large,0.0860000000,2020:9:27,1:48
m5a.xlarge,0.1720000000,2020:9:27,1:48
m5a.2xlarge,0.3440000000,2020:9:27,1:48
m5a.4xlarge,0.6880000000,2020:9:27,1:48
m5a.8xlarge,1.3760000000,2020:9:27,1:48
m5a.12xlarge,2.0640000000,2020:9:27,1:48
m5a.16xlarge,2.7520000000,2020:9:27,1:48
m5a.24xlarge,4.1280000000,2020:9:27,1:48
m5ad.large,0.1030000000,2020:9:27,1:48
m5ad.xlarge,0.2060000000,2020:9:27,1:48
m5ad.2xlarge,0.4120000000,2020:9:27,1:48
m5ad.4xlarge,0.8240000000,2020:9:27,1:48
m5ad.12xlarge,2.4720000000,2020:9:27,1:48
m5ad.24xlarge,4.9440000000,2020:9:27,1:48
m5d.large,0.1130000000,2020:9:27,1:48
m5d.xlarge,0.2260000000,2020:9:27,1:48
m5d.2xlarge,0.4520000000,2020:9:27,1:48
m5d.4xlarge,0.9040000000,2020:9:27,1:48
m5d.8xlarge,1.8080000000,2020:9:27,1:48
m5d.12xlarge,2.7120000000,2020:9:27,1:48
m5d.16xlarge,3.6160000000,2020:9:27,1:48
m5d.24xlarge,5.4240000000,2020:9:27,1:48
m5d.metal,5.4240000000,2020:9:27,1:48
m5dn.large,0.1360000000,2020:9:27,1:48
m5dn.xlarge,0.2720000000,2020:9:27,1:48
m5dn.2xlarge,0.5440000000,2020:9:27,1:48
m5dn.4xlarge,1.0880000000,2020:9:27,1:48
m5dn.8xlarge,2.1760000000,2020:9:27,1:48
m5dn.12xlarge,3.2640000000,2020:9:27,1:48
m5dn.16xlarge,4.3520000000,2020:9:27,1:48
m5dn.24xlarge,6.5280000000,2020:9:27,1:48
m5n.large,0.1190000000,2020:9:27,1:48
m5n.xlarge,0.2380000000,2020:9:27,1:48
m5n.2xlarge,0.4760000000,2020:9:27,1:48
m5n.4xlarge,0.9520000000,2020:9:27,1:48
m5n.8xlarge,1.9040000000,2020:9:27,1:48
m5n.12xlarge,2.8560000000,2020:9:27,1:48
m5n.16xlarge,3.8080000000,2020:9:27,1:48
m5n.24xlarge,5.7120000000,2020:9:27,1:48
m4.large,0.1000000000,2020:9:27,1:48
m4.xlarge,0.2000000000,2020:9:27,1:48
m4.2xlarge,0.4000000000,2020:9:27,1:48
m4.4xlarge,0.8000000000,2020:9:27,1:48
m4.10xlarge,2.0000000000,2020:9:27,1:48
m4.16xlarge,3.2000000000,2020:9:27,1:48
